indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
————————————,8777,species,-2419897,A.Lepilemur hollandorum,EOL-000000640935,B.Lepilemur hollandorum,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8778,species,-2419886,A.Lepilemur betsileo,EOL-000000640936,B.Lepilemur betsileo,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8779,species,-2419898,A.Lepilemur edwardsi,EOL-000000640937,B.Lepilemur edwardsi,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8780,species,-2419911,A.Lepilemur scottorum,EOL-000000640938,B.Lepilemur scottorum,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8781,species,-2419891,A.Lepilemur leucopus,EOL-000000640939,B.Lepilemur leucopus,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8782,species,-2419903,A.Lepilemur septentrionalis,EOL-000000640940,B.Lepilemur septentrionalis,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8783,species,-2419907,A.Lepilemur mustelinus,EOL-000000640941,B.Lepilemur mustelinus,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8784,species,-2419900,A.Lepilemur sahamalazensis,EOL-000000640942,B.Lepilemur sahamalazensis,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8785,species,-2419889,A.Lepilemur microdon,EOL-000000640943,B.Lepilemur microdon,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8786,species,-2419893,A.Lepilemur aeeclis,EOL-000000640944,B.Lepilemur aeeclis,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8787,species,-2419908,A.Lepilemur dorsalis,EOL-000000640945,B.Lepilemur dorsalis,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8788,species,-2419894,A.Lepilemur milanoii,EOL-000000640946,B.Lepilemur milanoii,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8789,species,-2419899,A.Lepilemur fleuretae,EOL-000000640947,B.Lepilemur fleuretae,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8790,species,-2419888,A.Lepilemur wrightae,EOL-000000640948,B.Lepilemur wrightae,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8791,species,-2419895,A.Lepilemur ruficaudatus,EOL-000000640949,B.Lepilemur ruficaudatus,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8792,species,-2419912,A.Lepilemur jamesorum,EOL-000000640950,B.Lepilemur jamesorum,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8793,species,-2419896,A.Lepilemur randrianasoloi,EOL-000000640951,B.Lepilemur randrianasoloi,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8794,species,-2419890,A.Lepilemur mittermeieri,EOL-000000640952,B.Lepilemur mittermeieri,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8795,species,-2419904,A.Lepilemur ahmansonorum,EOL-000000640953,B.Lepilemur ahmansonorum,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8796,species,-2419913,A.Lepilemur petteri,EOL-000000640954,B.Lepilemur petteri,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8797,species,-2419910,A.Lepilemur grewcockorum,EOL-000000640955,B.Lepilemur grewcockorum,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8798,species,-2419905,A.Lepilemur ankaranensis,EOL-000000640956,B.Lepilemur ankaranensis,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
